alt
91.981
99.712
93.137
58.775
107.052
84.191
72.851
43.799
35.597
27.870
26.584
27.834
19.606
17.212
17.217
18.407
19.374
18.414
18.601
16.792
15.824
35.657
31.547
32.091
30.644
30.551
28.133
27.934
30.163
31.043
30.013
31.623
30.194
47.397
46.355
38.356
37.279
27.136
28.030
27.428
28.706
