mag
4.64
4.64
5.00
4.73
4.18
4.45
4.73
4.55
4.18
1.36
1.55
1.82
1.55
1.55
1.64
1.55
1.64
1.82
2.45
0.91
0.00
-0.36
1.00
0.82
0.91
0.82
0.64
1.00
0.91
0.91
-3.36
-3.45
-3.55
-3.18
-3.09
-3.27
-3.27
-3.36
-3.55
-9.36
-9.27
-9.09
-9.00
-9.09
-9.00
-9.00
-8.91
-9.18
-9.00
-14.00
-17.00
-16.18
-15.73
-16.00
-16.09
-15.91
-15.82
-16.09
-15.82
-15.91
-26.09
-25.91
-25.82
-26.00
-25.91
-25.91
-26.00
-25.82
-26.00
