alt
47.325
49.758
54.728
67.152
67.427
143.932
70.360
54.428
55.151
56.498
62.169
68.444
65.105
67.081
69.395
70.903
70.621
66.868
61.510
54.960
46.634
49.825
46.804
41.848
39.926
36.886
40.643
41.865
43.558
43.614
49.478
44.921
47.846
48.930
49.815
44.833
42.390
40.822
43.222
49.203
51.694
50.769
51.061
42.325
31.415
66.742
35.450
34.866
27.960
29.825
35.358
35.907
45.783
58.051
63.621
66.806
71.159
76.839
77.582
74.736
76.296
78.502
75.391
73.579
71.828
75.081
67.160
70.672
68.621
61.461
58.398
67.202
72.720
77.639
77.405
72.368
68.106
65.299
66.781
66.004
66.789
68.488
70.372
65.711
71.075
76.697
75.549
60.851
31.923
3.343
3.068
3.063
3.251
3.547
4.013
8.441
65.896
76.214
78.736
76.977
71.908
64.724
60.959
59.533
58.366
63.500
66.537
67.529
60.146
54.877
55.648
57.042
67.773
66.517
68.265
68.867
61.200
58.905
56.419
59.060
55.191
55.855
54.686
60.800
58.281
65.595
63.050
62.583
65.522
64.043
54.941
44.253
48.718
54.560
58.132
58.453
58.304
54.335
46.208
50.286
50.064
52.738
54.104
53.598
50.300
50.872
53.326
54.320
54.728
53.972
54.075
50.962
54.802
56.372
58.369
55.882
49.334
51.381
54.399
50.278
49.393
